BookID|ISBN|BookTitle|AuthorName|Publisher|Price
1|9780525478188|Paper Town|John Green|Dutton Books|10.50
2|9781250012579|Eleanor & Park|Rainbow Rowell|St. Martin's Press|15.30
3|9780062398901|A Study in Charlotte|Brittany Cavallaro|Katherine Tegen Books|14.21
4|9781984819192|Brief Answers to the Big Questions|Stephen Hawking|Bantam Books|18.99
5|9781476740188|The Library Book|Susan Orleans|Simon Schuster|9.99
6|9781936787975|All You Can Ever Know: A Memoir|Nicole Chung|Catapult|10.99
7|9781324002642|The Fifth Risk|Michael Lewis|W. W. Norton Company|11.99
8|9781501181801|Good and Mad: The Revolutionary Power of Women's Anger|Rebecca Traister|Simon & Schuster|12.95
9|9780767908184|A Short History of Nearly Everything|Bill Bryson|Broadway Books|6.99
10|9780553380163|A Brief History of Time|Stephen Hawking|Bantam Books|10.95
11|9780375508325|Cosmo|Carl Sagan|Random House|11.90
